triangle_index,centroid_x_m,centroid_y_m,centroid_z_m,strain_eqv
0,0.869262932633,0.474478789749,0.0011,7.33430919566e-05
1,0.669263013305,0.974478730757,0.0011,0.000351998962193
2,0.869262932633,0.374478789749,0.0011,7.0765216251e-05
3,0.369263013305,0.974478730757,0.0011,0.000991147041796
4,0.869262932633,0.174478789749,0.0011,6.40295999209e-05
5,0.769262932633,0.074478789749,0.0011,0.000156739290035
6,0.269263013305,0.974478730757,0.0011,0.00121896092446
7,0.869262932633,0.574478789749,0.0011,7.51756335756e-05
8,0.469263013305,0.974478730757,0.0011,0.000762857067826
9,0.569263013305,0.974478730757,0.0011,0.000546336190957
10,0.569262932633,0.174478789749,0.0011,0.000455823639242
11,0.869262932633,0.274478789749,0.0011,6.77470703113e-05
12,0.269262932633,0.574478789749,0.0011,0.00108098203784
13,0.269262932633,0.174478789749,0.0011,0.00107162643421
14,0.269262932633,0.274478789749,0.0011,0.00107547533165
15,0.269262932633,0.774478789749,0.0011,0.00108347714679
16,0.169262932633,0.274478789749,0.0011,0.0013110248947
17,0.569262932633,0.674478789749,0.0011,0.000480239260512
18,0.469262932633,0.874478789749,0.0011,0.000679259863949
19,0.369262932633,0.674478789749,0.0011,0.000873544181747
20,0.269262932633,0.374478789749,0.0011,0.00108028383411
21,0.0692629326327,0.574478789749,0.0011,0.00151391686597
22,0.269262932633,0.474478789749,0.0011,0.00108178152861
23,0.0692629326327,0.474478789749,0.0011,0.00153210312544
24,0.469262932633,0.674478789749,0.0011,0.000670550141967
25,0.369262932633,0.174478789749,0.0011,0.000852836412105
26,0.0692629326327,0.274478789749,0.0011,0.00155976228699
27,0.869262932633,0.774478789749,0.0011,7.36113230123e-05
28,0.469262932633,0.174478789749,0.0011,0.000645799429674
29,0.569262932633,0.374478789749,0.0011,0.000459508454773
30,0.469262932633,0.374478789749,0.0011,0.000649429238068
31,0.169262932633,0.774478789749,0.0011,0.00127802316899
32,0.369262932633,0.274478789749,0.0011,0.000852676152449
33,0.669262932633,0.774478789749,0.0011,0.000314260809285
34,0.469262932633,0.474478789749,0.0011,0.000656478874097
35,0.369262932633,0.474478789749,0.0011,0.000863662067015
36,0.769262932633,0.574478789749,0.0011,0.000170659777207
37,0.369262932633,0.374478789749,0.0011,0.000858039512929
38,0.469262932633,0.574478789749,0.0011,0.000663733428715
39,0.569262932633,0.274478789749,0.0011,0.000455172321479
40,0.869263013305,0.974478730757,0.0011,7.05093683419e-05
41,0.669262932633,0.674478789749,0.0011,0.000311674217324
42,0.369262932633,0.574478789749,0.0011,0.000868541342608
43,0.0692630133053,0.974478730757,0.0011,0.00154087677252
44,0.769262932633,0.474478789749,0.0011,0.000166323362969
45,0.569262932633,0.574478789749,0.0011,0.000473721281735
46,0.169262932633,0.674478789749,0.0011,0.00128572009331
47,0.669262932633,0.274478789749,0.0011,0.000290425644138
48,0.269262932633,0.674478789749,0.0011,0.00108049077412
49,0.569262932633,0.474478789749,0.0011,0.00046635450238
50,0.669262932633,0.374478789749,0.0011,0.000294486412988
51,0.469262932633,0.774478789749,0.0011,0.000676305264993
52,0.169262932633,0.474478789749,0.0011,0.00130577015275
53,0.469262932633,0.274478789749,0.0011,0.000644604926598
54,0.0692629326327,0.674478789749,0.0011,0.00149286484257
55,0.869262932633,0.874478789749,0.0011,6.87172640968e-05
56,0.669262932633,0.174478789749,0.0011,0.000289787580342
57,0.0692629326327,0.774478789749,0.0011,0.0014666145905
58,0.769262932633,0.674478789749,0.0011,0.000173736047078
59,0.369262932633,0.774478789749,0.0011,0.000879518913915
60,0.169262932633,0.874478789749,0.0011,0.0012799646579
61,0.869262932633,0.074478789749,0.0011,5.90229742177e-05
62,0.769262932633,0.274478789749,0.0011,0.000158124399212
63,0.769262932633,0.174478789749,0.0011,0.000155926013241
64,0.0692629326327,0.174478789749,0.0011,0.00155048274743
65,0.869262932633,0.674478789749,0.0011,7.55617526912e-05
66,0.669262932633,0.474478789749,0.0011,0.000300366257753
67,0.569262932633,0.774478789749,0.0011,0.000484615815804
68,0.169262932633,0.574478789749,0.0011,0.00129610632765
69,0.169262932633,0.074478789749,0.0011,0.00132055902964
70,0.669262932633,0.574478789749,0.0011,0.000306569707488
71,0.369262932633,0.874478789749,0.0011,0.000885202300752
72,0.669262932633,0.874478789749,0.0011,0.000313236909653
73,0.769262932633,0.774478789749,0.0011,0.000174289870661
74,0.169262932633,0.374478789749,0.0011,0.00131208142828
75,0.769262932633,0.374478789749,0.0011,0.000161850976236
76,0.469262932633,0.074478789749,0.0011,0.000662609328758
77,0.569262932633,0.874478789749,0.0011,0.000485409798036
78,0.0692629326327,0.874478789749,0.0011,0.00143339797569
79,0.669262932633,0.074478789749,0.0011,0.000296135337764
80,0.269262932633,0.074478789749,0.0011,0.00109568169305
81,0.169262932633,0.174478789749,0.0011,0.00130055923194
82,0.769262932633,0.874478789749,0.0011,0.00017150568467
83,0.369262932633,0.074478789749,0.0011,0.000874552719459
84,0.569262932633,0.074478789749,0.0011,0.000467630854617
85,0.169263013305,0.974478730757,0.0011,0.00142497063795
86,0.0692629326327,0.074478789749,0.0011,0.0015096739175
87,0.269262932633,0.874478789749,0.0011,0.00109148920061
88,0.769263013305,0.974478730757,0.0011,0.000190018081269
89,0.0692629326327,0.374478789749,0.0011,0.00154840629924
90,0.0677299746493,0.993667956257,0.0011,0.000587454972736
91,0.867729974649,0.993667956257,0.0011,2.55274560518e-05
92,0.267729974649,0.993667956257,0.0011,0.000458360836042
93,0.767729974649,0.993667956257,0.0011,6.90947315765e-05
94,0.667729974649,0.993667956257,0.0011,0.000129107555925
95,0.467729974649,0.993667956257,0.0011,0.000283859720039
96,0.567729974649,0.993667956257,0.0011,0.000201973623251
97,0.167729974649,0.993667956257,0.0011,0.000537739387381
98,0.367729974649,0.993667956257,0.0011,0.000370869128302
99,0.967729974649,0.993667956257,0.0011,2.25685274549e-06
100,0.075591087124,0.929604394193,0.0011,0.00116674601223
101,0.775591087124,0.829604394193,0.0011,0.000122903026804
102,0.875591087124,0.329604394193,0.0011,5.55623806455e-05
103,0.875591087124,0.429604394193,0.0011,5.62537177691e-05
104,0.875591087124,0.529604394193,0.0011,5.48767392999e-05
105,0.775591087124,0.729604394193,0.0011,0.000117786938284
106,0.575591087124,0.829604394193,0.0011,0.000372690083661
107,0.775591087124,0.129604394193,0.0011,9.42052970839e-05
108,0.675591087124,0.729604394193,0.0011,0.000226474546085
109,0.175591087124,0.729604394193,0.0011,0.00104803395633
110,0.875591087124,0.129604394193,0.0011,4.11324337814e-05
111,0.875591087124,0.829604394193,0.0011,4.44833579265e-05
112,0.775591087124,0.929604394193,0.0011,0.000133154532193
113,0.475591087124,0.829604394193,0.0011,0.000526637665685
114,0.575591087124,0.529604394193,0.0011,0.000350413880011
115,0.875591087124,0.729604394193,0.0011,4.78581380237e-05
116,0.675591087124,0.429604394193,0.0011,0.000213125384407
117,0.275591087124,0.129604394193,0.0011,0.000913362604708
118,0.375591087124,0.729604394193,0.0011,0.000683630794632
119,0.475591087124,0.129604394193,0.0011,0.000504668679941
120,0.475591087124,0.429604394193,0.0011,0.00050793934893
121,0.575591087124,0.129604394193,0.0011,0.000335746137432
122,0.575591087124,0.629604394193,0.0011,0.000354690492612
123,0.575591087124,0.429604394193,0.0011,0.000348145560303
124,0.375591087124,0.829604394193,0.0011,0.000690220859443
125,0.375591087124,0.529604394193,0.0011,0.0006850441311
126,0.675591087124,0.829604394193,0.0011,0.000235539182284
127,0.475591087124,0.729604394193,0.0011,0.000516301790679
128,0.175591087124,0.529604394193,0.0011,0.00108905862178
129,0.175591087124,0.929604394193,0.0011,0.00101751961652
130,0.475591087124,0.529604394193,0.0011,0.000508258229131
131,0.075591087124,0.129604394193,0.0011,0.00141054479448
132,0.275591087124,0.829604394193,0.0011,0.000856895051378
133,0.675591087124,0.329604394193,0.0011,0.000210541325183
134,0.675591087124,0.529604394193,0.0011,0.000215951842314
135,0.575591087124,0.229604394193,0.0011,0.000343498256788
136,0.575591087124,0.729604394193,0.0011,0.000361891819974
137,0.875591087124,0.929604394193,0.0011,4.72617490283e-05
138,0.775591087124,0.429604394193,0.0011,0.000110461174834
139,0.675591087124,0.129604394193,0.0011,0.000196706450394
140,0.275591087124,0.729604394193,0.0011,0.000860260088844
141,0.375591087124,0.129604394193,0.0011,0.00069869228049
142,0.075591087124,0.429604394193,0.0011,0.00135661748562
143,0.375591087124,0.429604394193,0.0011,0.000688067813132
144,0.575591087124,0.329604394193,0.0011,0.000346608293983
145,0.475591087124,0.329604394193,0.0011,0.000508655782334
146,0.475591087124,0.629604394193,0.0011,0.000510596545703
147,0.375591087124,0.629604394193,0.0011,0.00068291776839
148,0.775591087124,0.629604394193,0.0011,0.000114629625416
149,0.275591087124,0.429604394193,0.0011,0.000885994437098
150,0.375591087124,0.329604394193,0.0011,0.000691563135369
151,0.875591087124,0.629604394193,0.0011,5.19496179938e-05
152,0.675591087124,0.629604394193,0.0011,0.000220220864979
153,0.775591087124,0.529604394193,0.0011,0.00011230798876
154,0.075591087124,0.629604394193,0.0011,0.00131232875212
155,0.475591087124,0.229604394193,0.0011,0.000508700445646
156,0.375591087124,0.229604394193,0.0011,0.000695878367655
157,0.375591087124,0.929604394193,0.0011,0.000703468729975
158,0.875591087124,0.229604394193,0.0011,5.12726113959e-05
159,0.275591087124,0.229604394193,0.0011,0.000900386307732
160,0.275591087124,0.329604394193,0.0011,0.00089235172754
161,0.675591087124,0.229604394193,0.0011,0.000205979235558
162,0.775591087124,0.329604394193,0.0011,0.000108234125666
163,0.575591087124,0.929604394193,0.0011,0.000388417613203
164,0.275591087124,0.629604394193,0.0011,0.000869514037145
165,0.275591087124,0.529604394193,0.0011,0.000878691385058
166,0.675591087124,0.929604394193,0.0011,0.000249567605109
167,0.175591087124,0.229604394193,0.0011,0.00112090126821
168,0.075591087124,0.829604394193,0.0011,0.00122375764717
169,0.075591087124,0.329604394193,0.0011,0.00137304326523
170,0.175591087124,0.429604394193,0.0011,0.00110145653812
171,0.175591087124,0.829604394193,0.0011,0.00102401856832
172,0.075591087124,0.229604394193,0.0011,0.00138730198159
173,0.475591087124,0.929604394193,0.0011,0.000542206125902
174,0.275591087124,0.929604394193,0.0011,0.00086448521829
175,0.175591087124,0.629604394193,0.0011,0.00107149887642
176,0.775591087124,0.229604394193,0.0011,0.000103643362448
177,0.075591087124,0.529604394193,0.0011,0.00133717115754
178,0.175591087124,0.129604394193,0.0011,0.00114323998179
179,0.175591087124,0.329604394193,0.0011,0.00111036906478
180,0.075591087124,0.729604394193,0.0011,0.00127768492667
181,0.774932952947,0.862871473963,0.0011,0.000154980454537
182,0.274932952947,0.862871473963,0.0011,0.00104585546158
183,0.0749329529467,0.862871473963,0.0011,0.00139329134773
184,0.0749329529466,0.362871473963,0.0011,0.00149254618107
185,0.674932952947,0.0628714739633,0.0011,0.000271615016258
186,0.174932952947,0.962871473963,0.0011,0.00131214037313
187,0.574932952947,0.862871473963,0.0011,0.000455026802808
188,0.374932952947,0.0628714739633,0.0011,0.000819087067431
189,0.674932952947,0.862871473963,0.0011,0.00028985589488
190,0.774932952947,0.762871473963,0.0011,0.000157269578967
191,0.274932952947,0.0628714739633,0.0011,0.00103169228553
192,0.0749329529467,0.0628714739633,0.0011,0.00143724114615
193,0.774932952947,0.962871473963,0.0011,0.000166023200477
194,0.674932952947,0.462871473963,0.0011,0.000280012279556
195,0.474932952947,0.0628714739633,0.0011,0.000617239440897
196,0.774932952947,0.362871473963,0.0011,0.000145842956233
197,0.174932952947,0.162871473963,0.0011,0.00125585663336
198,0.674932952947,0.162871473963,0.0011,0.000266428365199
199,0.0749329529467,0.562871473963,0.0011,0.00146382363489
200,0.374932952947,0.862871473963,0.0011,0.000842549392341
201,0.674932952947,0.562871473963,0.0011,0.000285752245583
202,0.174932952947,0.362871473963,0.0011,0.00127020279807
203,0.174932952947,0.862871473963,0.0011,0.00123662511171
204,0.774932952947,0.162871473963,0.0011,0.000139371869484
205,0.0749329529467,0.462871473963,0.0011,0.00147954191393
206,0.474932952947,0.862871473963,0.0011,0.000642158741573
207,0.674932952947,0.362871473963,0.0011,0.000273908148225
208,0.874932952947,0.962871473963,0.0011,5.93086108151e-05
209,0.674932952947,0.262871473963,0.0011,0.000268789914781
210,0.174932952947,0.462871473963,0.0011,0.0012652437916
211,0.874932952947,0.862871473963,0.0011,5.86536810027e-05
212,0.474932952947,0.262871473963,0.0011,0.000614297615537
213,0.0749329529467,0.762871473963,0.0011,0.00142197173217
