case_name,case_dir,status,sample_id,mesh_preset,substrate_layers,piezo_layers,mesh_size_scale,element_order,error_message,frequency_match_score_percent
ansys_parity_sub4_pz2_mesh0p08,/home/gijeong/Inverse Design/tmp/parity_exec/ansys_parity_sweep_partial/ansys_parity_sub4_pz2_mesh0p08,solve_failed,0,ansys_parity,4,2,0.08,2,"Command '['docker', 'run', '--rm', '-v', '/home/gijeong/Inverse Design:/workspace', '-w', '/workspace', 'dolfinx/dolfinx:stable', 'bash', '-lc', 'pip install -q pyyaml && python3 -m peh_inverse_design.fenicsx_modal_solver --mesh /workspace/tmp/parity_exec/ansys_parity_sweep_partial/ansys_parity_sub4_pz2_mesh0p08/meshes/volumes/plate3d_0000_fenicsx.npz --response-dir /workspace/tmp/parity_exec/ansys_parity_sweep_partial/ansys_parity_sub4_pz2_mesh0p08/data/fem_responses --modes-dir /workspace/tmp/parity_exec/ansys_parity_sweep_partial/ansys_parity_sub4_pz2_mesh0p08/data/modal_data --substrate-rho 7930.0 --piezo-rho 7500.0 --num-modes 8 --search-points 301 --element-order 2 --store-mode-shapes --problem-spec /workspace/configs/peh_inverse_design_spec.yaml']' returned non-zero exit status 126.",inf
ansys_parity_sub6_pz2_mesh0p08,/home/gijeong/Inverse Design/tmp/parity_exec/ansys_parity_sweep_partial/ansys_parity_sub6_pz2_mesh0p08,solve_failed,0,ansys_parity,6,2,0.08,2,"Command '['docker', 'run', '--rm', '-v', '/home/gijeong/Inverse Design:/workspace', '-w', '/workspace', 'dolfinx/dolfinx:stable', 'bash', '-lc', 'pip install -q pyyaml && python3 -m peh_inverse_design.fenicsx_modal_solver --mesh /workspace/tmp/parity_exec/ansys_parity_sweep_partial/ansys_parity_sub6_pz2_mesh0p08/meshes/volumes/plate3d_0000_fenicsx.npz --response-dir /workspace/tmp/parity_exec/ansys_parity_sweep_partial/ansys_parity_sub6_pz2_mesh0p08/data/fem_responses --modes-dir /workspace/tmp/parity_exec/ansys_parity_sweep_partial/ansys_parity_sub6_pz2_mesh0p08/data/modal_data --substrate-rho 7930.0 --piezo-rho 7500.0 --num-modes 8 --search-points 301 --element-order 2 --store-mode-shapes --problem-spec /workspace/configs/peh_inverse_design_spec.yaml']' returned non-zero exit status 126.",inf
